,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1_score,Test F1_score,Train AUC_ROC,Test AUC_ROC,Cross_Validation_Scores_for_trainset
0,Logistic Regression,0.7075757575757575,0.6931216931216931,0.7149321266968326,0.6938775510204082,0.5486111111111112,0.544,0.6208251473477406,0.609865470852018,0.689628136200717,0.6773627760252366,"[0.6818181818181818, 0.7083333333333334, 0.6856060606060606, 0.6666666666666666, 0.7007575757575758]"
1,Support Vector Classifier,0.9181818181818182,0.7883597883597884,0.927007299270073,0.7777777777777778,0.8819444444444444,0.728,0.9039145907473309,0.7520661157024793,0.9140905017921147,0.781981072555205,"[0.8143939393939394, 0.7537878787878788, 0.7840909090909091, 0.7537878787878788, 0.7310606060606061]"
2,NuSVC,0.8727272727272727,0.800705467372134,0.8642857142857143,0.7686274509803922,0.8402777777777778,0.784,0.8521126760563381,0.7762376237623763,0.8690636200716846,0.7989400630914827,"[0.7651515151515151, 0.7348484848484849, 0.7613636363636364, 0.7651515151515151, 0.7386363636363636]"
3,SGD Classifier,0.6916666666666667,0.673721340388007,0.7552870090634441,0.7241379310344828,0.4340277777777778,0.42,0.5512679162072768,0.5316455696202531,0.6625784050179211,0.6469085173501578,"[0.6439393939393939, 0.5681818181818182, 0.6401515151515151, 0.6136363636363636, 0.6628787878787878]"
4,KNeighbors Classifier,0.8121212121212121,0.7566137566137566,0.7907801418439716,0.7222222222222222,0.7743055555555556,0.728,0.7824561403508772,0.7250996015936256,0.8078517025089607,0.753589905362776,"[0.7462121212121212, 0.7462121212121212, 0.7575757575757576, 0.75, 0.7765151515151515]"
5,Gradient Boosting Classifier,0.918939393939394,0.7954144620811288,0.9106830122591943,0.7745901639344263,0.9027777777777778,0.756,0.9067131647776808,0.7651821862348178,0.9171146953405017,0.7912492113564669,"[0.7651515151515151, 0.7537878787878788, 0.7765151515151515, 0.7651515151515151, 0.7537878787878788]"
6,Adaboost Classifier,0.7484848484848485,0.7231040564373897,0.7178571428571429,0.689795918367347,0.6979166666666666,0.676,0.7077464788732394,0.6828282828282829,0.7427755376344085,0.7181261829652997,"[0.6477272727272727, 0.6856060606060606, 0.6742424242424242, 0.7310606060606061, 0.7310606060606061]"
7,Random Forest Classifier,0.9575757575757575,0.7777777777777778,0.9942965779467681,0.7897196261682243,0.9079861111111112,0.676,0.9491833030852994,0.728448275862069,0.9519769265232975,0.7670220820189275,"[0.803030303030303, 0.7537878787878788, 0.7651515151515151, 0.7234848484848485, 0.7348484848484849]"
8,XGB Classifier,0.9136363636363637,0.7936507936507936,0.9110320284697508,0.7854077253218884,0.8888888888888888,0.732,0.8998242530755711,0.7577639751552796,0.91084229390681,0.7871356466876972,"[0.7954545454545454, 0.7992424242424242, 0.7689393939393939, 0.7613636363636364, 0.7613636363636364]"
9,Decision Tree Classifier,0.7613636363636364,0.671957671957672,0.7868131868131868,0.6616161616161617,0.6215277777777778,0.524,0.6944713870029098,0.5848214285714285,0.7455757168458781,0.6563217665615142,"[0.6893939393939394, 0.7045454545454546, 0.6704545454545454, 0.696969696969697, 0.6742424242424242]"
10,Extra Trees Classifier,0.906060606060606,0.783068783068783,0.9808510638297873,0.8159203980099502,0.8003472222222222,0.656,0.881453154875717,0.7272727272727272,0.894125224014337,0.769640378548896,"[0.7537878787878788, 0.6818181818181818, 0.7803030303030303, 0.7878787878787878, 0.7348484848484849]"
11,Gaussian Naive Bayes,0.471969696969697,0.4691358024691358,0.45247446975648076,0.4537205081669691,1.0,1.0,0.6230394808004326,0.6242197253433208,0.5315860215053764,0.525236593059937,"[0.45075757575757575, 0.44696969696969696, 0.5113636363636364, 0.48484848484848486, 0.4621212121212121]"
